Sales Category,Sales Item,Sales SKU,Sales GTIN,Sales Lines,Quantity Sold,Gross Sales,Discounts,Net Sales,First Sale Date,Last Sale Date,Match Type,Match Accepted,Match Score,Second Best Score,Matched Master SKU,Matched Catalog Item,Matched Vendor,Matched Catalog Price,Matched Catalog Cost,Match Reason,Top Candidate 1 Score,Top Candidate 1 Item,Top Candidate 1 SKU,Top Candidate 1 Vendor,Top Candidate 1 Reason,Top Candidate 2 Score,Top Candidate 2 Item,Top Candidate 2 SKU,Top Candidate 2 Vendor,Top Candidate 2 Reason,Top Candidate 3 Score,Top Candidate 3 Item,Top Candidate 3 SKU,Top Candidate 3 Vendor,Top Candidate 3 Reason
Tucker,Tucker Boar Bristle Brush,2029238,,1,1,165.00,0.00,165.00,2025-04-10,2025-04-10,unmatched,N,0.395,0.358,,,,,,"1 shared tokens, category fit",0.395,Large Flo Brush,59080,JRacenstein,"1 shared tokens, category fit",0.358,Super Brush Ettore,JRACEN-SUPER-BRUSH,JRacenstein,"1 shared tokens, category fit",0.354,Flo Brush,59070,JRacenstein,"1 shared tokens, category fit"
Tools,"16”x16” Green Glass Cloth, Microfiber towel",970711E,,2,108,162.00,0.00,162.00,2025-06-17,2025-07-14,unmatched,N,0.325,0.322,,,,,,"2 shared tokens, category fit",0.325,Ettore MicroSwipe Microfiber Towel 10 Pack Red,84411,JRacenstein,"2 shared tokens, category fit",0.322,Ettore MicroSwipe Microfiber Towel 10 Pack Blue,84410,JRacenstein,"2 shared tokens, category fit",0.320,Ettore MicroSwipe Microfiber Towel 10 Pack Green,84413,JRacenstein,"2 shared tokens, category fit"
Tools,Trident Roller Water,C372840,,14,29,159.50,0.00,159.50,2025-04-03,2026-03-09,unmatched,N,0.496,0.446,,,,,,"2 shared tokens, category fit",0.496,Silt roller Yellow water based,TDT-SFR-9WB,MPWSR,"2 shared tokens, category fit",0.446,Trident Seawall,TDS-SEAWALLP,MPWSR,"1 shared tokens, category fit",0.404,Trident Whitewater Efflo Remover #1,TDC-WHITEWTERP,MPWSR,"1 shared tokens, category fit"
Parts,"1/4"" O Ring 10 pack",844484J,,24,29,159.50,0.00,159.50,2025-04-07,2026-03-13,unmatched,N,0.534,0.534,,,,,,"3 shared tokens, category fit",0.534,"O-RING BUNA-N FOR 3/8"" QC SOCKETS - 10 PACK",2757,Barrens,"3 shared tokens, category fit",0.534,"O-RING BUNA-N FOR 1/4"" QC SOCKETS - 10 PACK",2785,Barrens,"3 shared tokens, category fit",0.516,"O-RING VITON BROWN FOR 3/8"" QC SOCKETS - 10 PACK",6624,Barrens,"3 shared tokens, category fit"
None,Whisper Wash 16” Spray Bar,P775459,,2,2,159.00,0.00,159.00,2025-04-02,2026-01-20,unmatched,N,0.483,0.478,,,,,,4 shared tokens,0.483,Whisper Wash Maxima Spray Bar *ORIGINAL*,MAX635-2,MPWSR,4 shared tokens,0.478,Whisper Wash Hydro-Flow Spray bar - Ultra Clean 16 Stainless Steel,HF-SS-UC16,MPWSR,5 shared tokens,0.472,Whisper Wash Mondo Replacement Spray Bar,M5635,MPWSR,4 shared tokens
Sorbo,Sorbo 24in T-RUBBER,5369381,,16,22,158.40,0.00,158.40,2025-05-09,2026-03-10,unmatched,N,0.378,0.355,,,,,,"1 shared tokens, category fit",0.378,"Floor Squeegee,Alum,Strt, HD 24in, Ettor",JRACEN-ALUMINUM-FLOOR-SQUEEGEES-STRAIGH,JRacenstein,"1 shared tokens, category fit",0.355,Sorbo Replacement Rubber Gross 18 inch,JRACEN-T-SHAPED-RUBBER-18,JRacenstein,"2 shared tokens, category fit",0.355,Sorbo Replacement Rubber Dozen 36 inch,1521,JRacenstein,"2 shared tokens, category fit"
Tucker,"Tucker 4.5 X 10"" DI FILTER",4278115,,2,2,157.00,0.00,157.00,2025-06-10,2026-02-26,unmatched,N,0.395,0.380,,,,,,"1 shared tokens, category fit",0.395,"Auto Squeegee, Repl. Head, 10"" Red Sponge",59010,JRacenstein,"1 shared tokens, category fit",0.380,Ettore T-Bar ProGrip 10 inch,4010,JRacenstein,"1 shared tokens, category fit",0.380,Ettore Sleeve Mighty 10 inch,52010,JRacenstein,"1 shared tokens, category fit"
None,"3/4"" Valve",,,1,6,155.94,0.00,155.94,2025-09-12,2025-09-12,unmatched,N,0.460,0.460,,,,,,1 shared tokens,0.460,UD-2 VALVE KIT,5509,Barrens,1 shared tokens,0.460,UD-1 VALVE KIT,5508,Barrens,1 shared tokens,0.450,"3/4 "" PVC Ball Valve",899001,MPWSR,1 shared tokens
Parts,SuperJet 50' Pressure Hose,141836T,,1,1,155.00,0.00,155.00,2025-05-12,2025-05-12,unmatched,N,0.375,0.344,,,,,,"3 shared tokens, category fit",0.375,"Gladiator Smooth 4000 Gray 3/8"" x 50' 250° Pressure Washer Hose",6941,Barrens,"3 shared tokens, category fit",0.344,"SET, PRESSURE WASHER ACC. #3.0 ECO 50'HOSE AL13-PLUG G&L. WQL/NLA",85.430.350,BE,"3 shared tokens, category fit",0.315,"RAMP106-50: RAMPAGE 50' Smooth Gray 3/8"" Single Wire 4300 PSI High Pressure Hose",RAMP106-50,MPWSR,"3 shared tokens, category fit"
Tools,Ladder Saver Shooter Tip to 50ft,461952B,,3,5,152.50,0.00,152.50,2025-07-14,2026-03-02,unmatched,N,0.401,0.401,,,,,,"2 shared tokens, category fit",0.401,Davis Shooter Tip - 8GPM,DST8GPM,MPWSR,"2 shared tokens, category fit",0.401,Davis Shooter Tip - 4GPM,DST4GPM,MPWSR,"2 shared tokens, category fit",0.320,Davis Shooter Tip Module with shooter and M5DS Twist - 7gpm,M5-DSTCOMBO3-7,MPWSR,"2 shared tokens, category fit"
Window Cleaning,Moerman Pole 3 Section 10ft,1128014,,2,2,151.98,0.00,151.98,2025-10-09,2025-10-22,unmatched,N,0.397,0.397,,,,,,"2 shared tokens, category fit",0.397,Ettore Pole Replacement Section 8 foot,JRACEN-REACH-NUMBER-1-REPLACEMENT-SEC-8,JRacenstein,"2 shared tokens, category fit",0.397,Ettore Pole Replacement Section 6 foot,2383,JRacenstein,"2 shared tokens, category fit",,,,,
Parts,BluSeal 3/4 Inch x 100' Garden Hose,BS34100,,1,1,150.50,0.00,150.50,2025-10-15,2025-10-15,unmatched,N,0.435,0.408,,,,,,"1 shared tokens, category fit",0.435,(4)SCALTROL SC-100 WATER TREATMENT SYSTEM,5041,Barrens,"1 shared tokens, category fit",0.408,"O-RING BUNA-N FOR 1/4"" QC SOCKETS - 100 PACK",7362,Barrens,"1 shared tokens, category fit",0.401,(100)4' CLEAR VINYL HOSE W/DETERGENT FILTER,6431,Barrens,"2 shared tokens, category fit"
None,Preventative Maintance,8280084,,1,1,150.00,-7.14,142.86,2025-03-20,2025-03-20,unmatched,N,0.292,0.284,,,,,,,0.292,CONCRETE STAIN Five Tinted by INSECO,6655X,INSECO,,0.284,GLOBAL HOUR/TACH MAINTENANCE METER,4188,Barrens,,0.279,VALVE FLOW BALANCE AXD,2409009100,BE,
None,fuel cell,,,1,1,139.96,0.00,139.96,2025-04-02,2025-04-02,unmatched,N,0.373,0.348,,,,,,1 shared tokens,0.373,Diesel Fuel Cap,080191BE,MPWSR,1 shared tokens,0.348,Inline Fuel filter,120-436,MPWSR,1 shared tokens,0.347,Fuel Tank Delete Kit,FTD-KIT,MPWSR,1 shared tokens
Moerman,Moerman Sleeve FUGU 22 in,Y431457,,4,5,139.95,0.00,139.95,2025-09-30,2026-03-10,unmatched,N,0.535,0.507,,,,,,2 shared tokens,0.535,Ettore Sleeve Dura 22 inch,1886,JRacenstein,2 shared tokens,0.507,Ettore Sleeve Porcupine 22 inch,58022,JRacenstein,2 shared tokens,0.478,Ettore Sleeve Golden Glove 22 inch,51022,JRacenstein,2 shared tokens
Sorbo,Sorbo Hard Water-Residue Remover,C372467,642086050007,6,7,139.65,0.00,139.65,2025-05-31,2026-03-13,unmatched,N,0.389,0.261,,,,,,"2 shared tokens, category fit",0.389,Water Spot Remover Scrub Off Ettore,30161,JRacenstein,"2 shared tokens, category fit",0.261,Sorbo Replacement Rubber Gross 18 inch,JRACEN-T-SHAPED-RUBBER-18,JRacenstein,"1 shared tokens, category fit",0.248,Sorbo Replacement Rubber Dozen 36 inch,1521,JRacenstein,"1 shared tokens, category fit"
Sorbo,Sorbo 50ft Bulk Replacement Squeegee Rubber Blade,490946P,642086015501,1,1,137.50,0.00,137.50,2025-08-15,2025-08-15,unmatched,N,0.420,0.420,,,,,,"3 shared tokens, category fit",0.420,Sorbo Replacement Rubber Dozen 36 inch,1521,JRacenstein,"3 shared tokens, category fit",0.420,Sorbo Replacement Rubber Dozen 30 inch,1518,JRacenstein,"3 shared tokens, category fit",0.420,Sorbo Replacement Rubber Dozen 24 inch,1512,JRacenstein,"3 shared tokens, category fit"
None,F9 Double Eagle - 1 Gallon,,,1,3,136.50,0.00,136.50,2025-12-10,2025-12-10,unmatched,N,0.369,0.000,,,,,,"4 shared tokens, measure mismatch penalty",0.369,F9 Double Eagle Cleaner Degreaser Neutralizer - 5 Gallon Pail,F9DE-P-5,Front9,"4 shared tokens, measure mismatch penalty",,,,,,,,,,
Tools,2.5 Gallon Carboy,H516127,,2,6,135.00,0.00,135.00,2026-02-23,2026-03-09,unmatched,N,0.421,0.421,,,,,,"1 shared tokens, category fit",0.421,NuTopp 5 Gallon Pail,NTPP5G,MPWSR,"1 shared tokens, category fit",0.421,5 GAL. PAIL POPPER,4833,Barrens,"1 shared tokens, category fit",0.417,Bullseye 5 gallon,BULLSEYE,MPWSR,"1 shared tokens, category fit"
Window Cleaning,"Moerman 14"" Liquidator Squeegee",531256D,,9,7,134.89,0.00,134.89,2025-03-25,2026-03-06,unmatched,N,0.500,0.460,,,,,,"2 shared tokens, category fit",0.500,Ettore Squeegee Complete 14,1017,JRacenstein,"2 shared tokens, category fit",0.460,"Pro+ Squeegee Complete 14""",2014,JRacenstein,"2 shared tokens, category fit",,,,,
Tagaway/Taginator,Tagaway 32oz Trigger Spray,4733065,,4,5,137.50,-2.75,134.75,2025-03-26,2026-02-06,unmatched,N,0.212,0.179,,,,,,category fit,0.212,Total Glass Care Kit,JRACEN-TOTAL-GLASS-CARE-KIT,JRacenstein,category fit,0.179,Cleaning Clamp Sponge,55180,JRacenstein,category fit,0.176,Large Flo Brush,59080,JRacenstein,category fit
Chemicals,Sodium Hydroxide 2 lbs.,1200648,,6,8,132.00,-1.33,130.67,2025-06-23,2026-01-21,unmatched,N,0.303,0.302,,,,,,category fit,0.303,Nozzle Holder Slide on,020002515,MPWSR,category fit,0.302,MTM Hydro Clear Foam Cannon,14.3,MPWSR,category fit,0.294,White Scum Presoak - 1 Gallon,EACOCH-WHITE-SCUM-PRESOAK-1-GALLON,EacoChem,category fit
Tucker,Tucker Boar & Nylon Bristle 2 Pencil,M119652,,1,1,130.00,0.00,130.00,2025-05-30,2025-05-30,unmatched,N,0.358,0.276,,,,,,"1 shared tokens, category fit",0.358,Holster Dual Nylon Ettore,50130,JRacenstein,"1 shared tokens, category fit",0.276,Pole Pro+ Snap-In Tip Nylon Ettore,JRACEN-PRO-POLE-TIP,JRacenstein,"1 shared tokens, category fit",,,,,
Moerman,"Moerman Rubber Liquidator NXT-R 22"" 10pk",03-82290,,2,2,126.40,0.00,126.40,2025-09-30,2026-01-23,unmatched,N,0.358,0.344,,,,,,2 shared tokens,0.358,Sorbo Replacement Rubber Dozen 22 inch,JRACEN-T-SHAPED-RUBBER-22,JRacenstein,2 shared tokens,0.344,Ettore Rubber Master Replacement Gross 22 inch [Case 144],JRACEN-MASTER-RUBBER-22-CASE-144,JRacenstein,2 shared tokens,0.337,Ettore Rubber Master Replacement Dozen 22 inch [Case 12],1438,JRacenstein,2 shared tokens
None,EC Jet,,,1,1,125.00,0.00,125.00,2025-04-25,2025-04-25,unmatched,N,0.348,0.297,,,,,,1 shared tokens,0.348,FOAM-JET KIT,6671,Barrens,1 shared tokens,0.297,5.0 ORIFICE FOR FOAM-JET,1644,Barrens,1 shared tokens,0.283,ORIFICE #7 FOR X-JET NOZZLES,5282,Barrens,1 shared tokens
None,Parts,,,1,1,123.50,0.00,123.50,2026-01-12,2026-01-12,unmatched,N,0.272,0.245,,,,,,"1 shared tokens, name contains match",0.272,Surface cleaner castor kit 4 parts.,V-CASTOR,MPWSR,"1 shared tokens, name contains match",0.245,PT INJECTOR KIT (GP FIXED 2.3) (BAG ALL PARTS),5914,Barrens,"1 shared tokens, name contains match",0.245,PT INJECTOR KIT (GP FIXED 2.1) (BAG ALL PARTS),5913,Barrens,"1 shared tokens, name contains match"
Window Cleaning,"Moerman 10"" Liquidator Squeegee",X796480,,7,7,122.50,0.00,122.50,2025-03-25,2026-02-06,unmatched,N,0.432,0.430,,,,,,"2 shared tokens, category fit",0.432,"Auto Squeegee, Repl. Head, 10"" Red Sponge",59010,JRacenstein,"2 shared tokens, category fit",0.430,"Telescopic Auto Squeegee 10"" Double Head 4'-7'",59084,JRacenstein,"2 shared tokens, category fit",0.318,"Auto Squeegee Scrubber 10"" Double Head 24"" overall",59024,JRacenstein,"2 shared tokens, category fit"
Window Cleaning,Moerman Sleeve FUGU 18 in,3229634,,5,5,119.95,0.00,119.95,2025-08-02,2026-02-04,unmatched,N,0.575,0.563,,,,,,"2 shared tokens, category fit",0.575,Ettore Sleeve Dura 18 inch,JRACEN-DURA-2-SLEEVE-18,JRacenstein,"2 shared tokens, category fit",0.563,Ettore Sleeve Mighty 18 inch,52018,JRacenstein,"2 shared tokens, category fit",0.547,Ettore Sleeve Porcupine 18 inch,58018,JRacenstein,"2 shared tokens, category fit"
Window Cleaning,"Sorbo Cobra 14""",K084082,,6,8,118.00,0.00,118.00,2025-09-10,2026-03-03,unmatched,N,0.448,0.329,,,,,,"2 shared tokens, category fit",0.448,Sorbo Replacement Rubber Dozen 14 inch,1497,JRacenstein,"2 shared tokens, category fit",0.329,Sorbo Channel Ultralight w/End Clip 14 inch [Case 36],JRACEN-MASTER-BRASS-CHANNELS-WITH-RUB-8,JRacenstein,"2 shared tokens, category fit",,,,,
Window Cleaning,"Sorbo 14"" Viper Channel",513086B,,3,7,115.50,0.00,115.50,2025-07-18,2026-02-23,unmatched,N,0.347,0.000,,,,,,"3 shared tokens, category fit",0.347,Sorbo Channel Ultralight w/End Clip 14 inch [Case 36],JRACEN-MASTER-BRASS-CHANNELS-WITH-RUB-8,JRacenstein,"3 shared tokens, category fit",,,,,,,,,,
Window Cleaning,Moerman Sleeve FUGU 14 in,W211252,,5,5,114.95,0.00,114.95,2025-03-25,2025-10-22,unmatched,N,0.575,0.563,,,,,,"2 shared tokens, category fit",0.575,Ettore Sleeve Dura 14 inch,1880,JRacenstein,"2 shared tokens, category fit",0.563,Ettore Sleeve Mighty 14 inch,52014,JRacenstein,"2 shared tokens, category fit",0.547,Ettore Sleeve Porcupine 14 inch,58014,JRacenstein,"2 shared tokens, category fit"
Tucker,Tucker MQC - V2,60005-V2,,4,6,116.10,-3.07,113.03,2025-09-02,2026-03-10,unmatched,N,0.230,0.229,,,,,,category fit,0.230,"Super Channel 14""",JRACEN-SUPER-CHANNEL-14,JRacenstein,category fit,0.229,Bucket Super Caster Ettore,85200,JRacenstein,category fit,0.228,Bucket Super Compact Lid Ettore,86100,JRacenstein,category fit
Tucker,tucker clampls v2,J755936,,1,4,111.96,0.00,111.96,2026-03-02,2026-03-02,unmatched,N,0.264,0.258,,,,,,category fit,0.264,Cleaning Clamp Brush,55170,JRacenstein,category fit,0.258,Cleaning Clamp Sponge,55180,JRacenstein,category fit,0.258,Cleaning Clamp Ettore,55160,JRacenstein,category fit
Window Cleaning,Moerman Squeege Handle Ergonomic,W363229,,6,7,111.93,0.00,111.93,2025-03-25,2026-03-06,unmatched,N,0.395,0.373,,,,,,"1 shared tokens, category fit",0.395,"Ostrich Feather Duster, Ergonomic",48626,JRacenstein,"1 shared tokens, category fit",0.373,Ettore Handle Contour Standard,1011,JRacenstein,"1 shared tokens, category fit",0.361,Master Brass Squeegee Handle [Case 24],JRACEN-MASTER-BRASS-SQUEEGEE-HANDLE-C-2,JRacenstein,"1 shared tokens, category fit"
Chemicals,Potassium Hydroxide 2 lbs.,974808A,,4,6,111.00,0.00,111.00,2025-04-08,2025-07-02,unmatched,N,0.317,0.308,,,,,,category fit,0.317,Total Prep 5 Gallon,720-5G,MPWSR,category fit,0.308,MTM Hydro Clear Foam Cannon,14.3,MPWSR,category fit,0.306,Power Brite Aluminum Brightener 5 Gallon,0971-5PK,MPWSR,category fit
Tucker,Tucker Alpha Scrubber,700275W,,1,1,110.00,0.00,110.00,2025-06-20,2025-06-20,unmatched,N,0.386,0.239,,,,,,"1 shared tokens, category fit",0.386,Auto Squeegee Scrubber Ettore,59016,JRacenstein,"1 shared tokens, category fit",0.239,"Auto Squeegee Scrubber Wood 8"" Head, 25"" overall",59020,JRacenstein,"1 shared tokens, category fit",0.239,"Auto Squeegee Scrubber Wood 8"" Head, 17"" overall",59816,JRacenstein,"1 shared tokens, category fit"
Tucker,"Tucker 4 X 30"" Carbon Filter Insert",1172467,,1,1,110.00,0.00,110.00,2025-09-17,2025-09-17,unmatched,N,0.403,0.372,,,,,,"1 shared tokens, category fit",0.403,"30"" Curved Aluminum Floor Squeegee",55040,JRacenstein,"1 shared tokens, category fit",0.372,Ettore Super Channel Aluminum 30 inch,11040,JRacenstein,"1 shared tokens, category fit",0.357,Sorbo Replacement Rubber Dozen 30 inch,1518,JRacenstein,"1 shared tokens, category fit"
Window Cleaning,Moerman Sleeve 18in Microfiber,Z275662,,5,5,109.95,0.00,109.95,2025-03-22,2025-10-22,unmatched,N,0.487,0.406,,,,,,"2 shared tokens, category fit",0.487,T-bar and Golden Glove Sleeve 18in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-3,JRacenstein,"2 shared tokens, category fit",0.406,Ettore Sleeve Pro+ Microfiber 22 inch,40022,JRacenstein,"2 shared tokens, category fit",0.406,Ettore Sleeve Pro+ Microfiber 18 inch,40018,JRacenstein,"2 shared tokens, category fit"
Tools,ProTool Screen King Tool,1386503,,3,3,106.50,0.00,106.50,2025-03-29,2025-04-03,unmatched,N,0.362,0.353,,,,,,"1 shared tokens, category fit",0.362,"SCREEN, FILTER 1"" SS",85.309.050,BE,"1 shared tokens, category fit",0.353,GENISYS CONTRACTOR'S TOOL,6640,Barrens,"1 shared tokens, category fit",0.335,Clean Screen (25) Ettore,30155,JRacenstein,"1 shared tokens, category fit"
Sorbo,Sorbo T-Bar Swivel 18in,10-4182,,4,4,106.00,0.00,106.00,2025-05-09,2026-03-11,unmatched,N,0.455,0.410,,,,,,"2 shared tokens, category fit",0.455,T-bar and Golden Glove Sleeve 18in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-3,JRacenstein,"2 shared tokens, category fit",0.410,Floor Squeegee Wipe & Dry 18in Ettore,48218,JRacenstein,"1 shared tokens, category fit",0.378,Floor Squeegee Wipe & Dry 18in w/Pole & Brush,48240,JRacenstein,"1 shared tokens, category fit"
EaCo Chem,A.R.T.,9266095,,2,4,106.00,0.00,106.00,2025-06-03,2025-10-24,unmatched,N,0.285,0.263,,,,,,category fit,0.285,C-Tar Melt - 1 Gallon,EACOCH-C-TAR-MELT-1-GALLON,EacoChem,category fit,0.263,Graf-Ex - 1 Gallon,EACOCH-GRAF-EX-1-GALLON,EacoChem,category fit,0.263,CT Wash - 1 Gallon,EACOCH-CT-WASH-1-GALLON,EacoChem,category fit
None,Straps,,,1,1,105.70,0.00,105.70,2025-04-02,2025-04-02,unmatched,N,0.251,0.246,,,,,,"1 shared tokens, name contains match",0.251,55 Gallon Vertical Tank Straps,55TANKSTRAP,MPWSR,"1 shared tokens, name contains match",0.246,525 Gallon Poly Tank - Gal Straps,TNK525-BS,MPWSR,"1 shared tokens, name contains match",,,,,
None,battery,,,1,1,105.00,0.00,105.00,2025-04-18,2025-04-18,unmatched,N,0.578,0.362,,,,,,"1 shared tokens, name contains match",0.578,BATTERY BOX,85.603.005,BE,"1 shared tokens, name contains match",0.362,"CABLE, BATTERY RED 6 GAUGE RED",85.603.040,BE,"1 shared tokens, name contains match",0.334,"CABLE, BATTERY BLK 6 GAUGE BLACK",85.603.041,BE,"1 shared tokens, name contains match"
Chemicals,Dawn Professional Dish Soap - 5 Gallons,M443664,,1,1,105.00,0.00,105.00,2025-09-10,2025-09-10,unmatched,N,0.379,0.377,,,,,,"1 shared tokens, category fit",0.379,Total Prep 5 Gallon,720-5G,MPWSR,"1 shared tokens, category fit",0.377,Polished Stone Cleaner - 5 Gallon Pail,EACOCH-POLISHED-STONE-CLEANER-5-GALLON,EacoChem,"1 shared tokens, category fit",0.372,Total Quick Strip ML 5 Gal,770-5G,MPWSR,"1 shared tokens, category fit"
Sorbo,Sorbo T-Bar Swivel 14in,10-4142,,4,4,102.00,0.00,102.00,2025-08-14,2026-03-03,unmatched,N,0.455,0.355,,,,,,"2 shared tokens, category fit",0.455,T-bar and Golden Glove Sleeve 14in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-2,JRacenstein,"2 shared tokens, category fit",0.355,Ettore T-Bar ProGrip 14 inch,JRACEN-PRO-GRIP-T-BAR-14,JRacenstein,"1 shared tokens, category fit",0.337,Ettore T-Bar ProGrip 18 inch,JRACEN-PRO-GRIP-T-BAR-18,JRacenstein,"1 shared tokens, category fit"
None,valve assembly kit,,,1,1,100.00,0.00,100.00,2025-11-26,2025-11-26,unmatched,N,0.430,0.360,,,,,,"3 shared tokens, name contains match",0.430,9644 VALVE ASSEMBLY KIT P430 P440 P450,3171,Barrens,"3 shared tokens, name contains match",0.360,9039 VALVE ASSEMBLY KIT P45 P46 (WILL ONLY TAKE ON,5129,Barrens,"3 shared tokens, name contains match",0.348,Vertical Pump discharge outlet check valve assembly rebuild kit,AR1460431,MPWSR,3 shared tokens
Tools,QwickFlip,9188205,,3,4,100.00,0.00,100.00,2025-06-25,2025-08-13,unmatched,N,0.294,0.285,,,,,,category fit,0.294,BackFlip Handle Brass,5363,JRacenstein,category fit,0.285,RING-BACK UP,4163,Barrens,category fit,0.282,Window Cleaning Display,47002,JRacenstein,category fit
None,"Libman 36"" Floor Squeegee",H714295,,3,4,100.00,0.00,100.00,2025-07-18,2026-01-07,unmatched,N,0.514,0.504,,,,,,2 shared tokens,0.514,"Aluminum Floor Squeegees, Curved, 36""",55041,JRacenstein,2 shared tokens,0.504,"Aluminum Floor Squeegees, Straight, 36""",JRACEN-ALUMINUM-FLOOR-SQUEEGEES-STRAI-2,JRacenstein,2 shared tokens,0.416,"Replacement Rubber for Industrial Steel Floor Squeegees 36""",54436,JRacenstein,2 shared tokens
Tucker,"Tucker 2.5 x 10"" COMBO FILTER",230756R,,2,4,99.96,0.00,99.96,2026-01-17,2026-02-26,unmatched,N,0.376,0.372,,,,,,"1 shared tokens, category fit",0.376,Ettore MicroSwipe Microfiber Towel 10 Pack Blue,84410,JRacenstein,"1 shared tokens, category fit",0.372,"Auto Squeegee, Repl. Head, 10"" Red Sponge",59010,JRacenstein,"1 shared tokens, category fit",0.372,Ettore T-Bar ProGrip 10 inch,4010,JRacenstein,"1 shared tokens, category fit"
Window Cleaning,Moerman Sleeve 14in Microfiber,1050874,,4,5,99.95,0.00,99.95,2025-03-25,2026-01-07,unmatched,N,0.487,0.406,,,,,,"2 shared tokens, category fit",0.487,T-bar and Golden Glove Sleeve 14in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-2,JRacenstein,"2 shared tokens, category fit",0.406,Ettore Sleeve Pro+ Microfiber 22 inch,40022,JRacenstein,"2 shared tokens, category fit",0.406,Ettore Sleeve Pro+ Microfiber 18 inch,40018,JRacenstein,"2 shared tokens, category fit"
Sorbo,Sorbo Yellow Jacket Sleeve with Brass Snaps 18in,11-418,,2,4,98.00,0.00,98.00,2025-08-15,2026-02-04,unmatched,N,0.429,0.396,,,,,,"2 shared tokens, category fit",0.429,T-bar and Golden Glove Sleeve 18in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-3,JRacenstein,"2 shared tokens, category fit",0.396,Floor Squeegee Wipe & Dry 18in Ettore,48218,JRacenstein,"1 shared tokens, category fit",0.373,Floor Squeegee Wipe & Dry 18in w/Pole & Brush,48240,JRacenstein,"1 shared tokens, category fit"
Chemicals,Screen Magic 32oz,776549S,,8,8,100.00,-2.21,97.79,2025-03-25,2026-03-10,unmatched,N,0.236,0.194,,,,,,"1 shared tokens, category fit",0.236,Garden Hose Washer w/Screen 25 Pack,2717,MPWSR,"1 shared tokens, category fit",0.194,Garden Hose Washer w/ Inlet Screen,1737,MPWSR,"1 shared tokens, category fit",0.169,1/2'' Blue Cap Hose Inlet replacement Screen,MPWSR-1-2-BLUE-CAP-HOSE-INLET-REPLAC-2,MPWSR,"1 shared tokens, category fit"
None,"50 ft of 1""  poly braided hose",,,1,1,97.65,0.00,97.65,2025-09-12,2025-09-12,unmatched,N,0.383,0.383,,,,,,3 shared tokens,0.383,"1"" Clear Poly Braided Hose - 300ft Roll",4511-1001-300,MPWSR,3 shared tokens,0.383,"1"" Clear Poly Braided Hose - 100ft Roll",4511-1001-100,MPWSR,3 shared tokens,0.362,"Clear Poly Braided Hose - By the Foot - 1"" per ft",RAMP-100-CBH-BTF,MPWSR,3 shared tokens
Window Cleaning,"Moerman 12"" Liquidator Squeegee",C726611,,5,5,92.50,0.00,92.50,2025-10-22,2026-03-13,unmatched,N,0.500,0.481,,,,,,"2 shared tokens, category fit",0.500,Ettore Squeegee Complete 12,JRACEN-MASTER-BRASS-SQUEEGEES-COMPLETE,JRacenstein,"2 shared tokens, category fit",0.481,"All-Purpose Squeegee 12""",17012,JRacenstein,"2 shared tokens, category fit",0.460,"Pro+ Squeegee Complete 12""",JRACEN-PRO-SQUEEGEE-COMPLETE-12,JRacenstein,"2 shared tokens, category fit"
Window Cleaning,Microfiber Waffle Weave Towel,370GSM,,4,37,92.50,0.00,92.50,2025-06-16,2025-10-06,unmatched,N,0.310,0.307,,,,,,"2 shared tokens, category fit",0.310,Ettore MicroSwipe Microfiber Towel 10 Pack Red,84411,JRacenstein,"2 shared tokens, category fit",0.307,Ettore MicroSwipe Microfiber Towel 10 Pack Blue,84410,JRacenstein,"2 shared tokens, category fit",0.305,Ettore MicroSwipe Microfiber Towel 10 Pack Green,84413,JRacenstein,"2 shared tokens, category fit"
Tucker,4in x10in Re-Fillable Empty..Blue/White,20029,,3,3,92.40,0.00,92.40,2025-04-01,2025-09-29,unmatched,N,0.267,0.000,,,,,,"1 shared tokens, category fit",0.267,Blades 4in for HD Scraper (10) Ettore,20291,JRacenstein,"1 shared tokens, category fit",,,,,,,,,,
Sorbo,Sorbo 14in T-RUBBER,C100067,,12,22,92.40,-0.37,92.03,2025-04-07,2026-02-25,unmatched,N,0.370,0.355,,,,,,"1 shared tokens, category fit",0.370,T-bar and Golden Glove Sleeve 14in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-S-2,JRacenstein,"1 shared tokens, category fit",0.355,Sorbo Replacement Rubber Gross 18 inch,JRACEN-T-SHAPED-RUBBER-18,JRacenstein,"2 shared tokens, category fit",0.355,Sorbo Replacement Rubber Dozen 36 inch,1521,JRacenstein,"2 shared tokens, category fit"
Tucker,4 x 10in DI Cartridge..Blue/White,20027,,1,1,90.18,0.00,90.18,2025-12-02,2025-12-02,unmatched,N,0.330,0.000,,,,,,"1 shared tokens, category fit",0.330,T-bar and Golden Glove Sleeve 10in Ettore,JRACEN-GOLDEN-GLOVE-WASHER-COMPLETE-SLE,JRacenstein,"1 shared tokens, category fit",,,,,,,,,,
